Country,Rank,US$,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Average height in general,Average male height,Average female height,Diff
United States,5,63051.0,331002651.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,170.1 cm (5 ft 7 in),176.9,163.3,0.07687959299039002
Uruguay,46,15332.0,3473730.0,0.35 %,11996.0,20.0,175020.0,-3000.0,2.0,36,96 %,0.04 %,167.9 cm (5 ft 6 in),174.3,161.6,0.07286288009179585
Uzbekistan,145,1763.0,33469203.0,1.48 %,487487.0,79.0,425400.0,-8863.0,2.4,28,50 %,0.43 %,165.6 cm (5 ft 5 in),170.9,160.3,0.062024575775307164
Vanuatu,127,2879.0,307145.0,2.42 %,7263.0,25.0,12190.0,120.0,3.8,21,24 %,0.00 %,164.4 cm (5 ft 4 1⁄2 in),168.3,160.5,0.04634581105169347
Venezuela,146,1739.0,28435940.0,-0.28 %,-79889.0,32.0,882050.0,-653249.0,2.3,30,N.A.,0.36 %,166.8 cm (5 ft 5 1⁄2 in),173.5,160.0,0.07780979827089338
Vietnam,115,3498.0,97338579.0,0.91 %,876473.0,314.0,310070.0,-80000.0,2.1,32,38 %,1.25 %,163.7 cm (5 ft 4 1⁄2 in),168.9,158.4,0.06216696269982238
Wallis & Futuna,,,11239.0,-1.69 %,-193.0,80.0,140.0,,N.A.,N.A.,0 %,0.00 %,,,,
Western Sahara,,,597339.0,2.55 %,14876.0,2.0,266000.0,5582.0,2.4,28,87 %,0.01 %,,,,
Yemen,175,645.0,29825964.0,2.28 %,664042.0,56.0,527970.0,-30000.0,3.8,20,38 %,0.38 %,159.6 cm (5 ft 3 in),164.4,154.8,0.05839416058394157
Zambia,160,1001.0,18383955.0,2.93 %,522925.0,25.0,743390.0,-8000.0,4.7,18,45 %,0.24 %,162.5 cm (5 ft 4 in),167.6,157.3,0.06145584725536983
Zimbabwe,163,922.0,14862924.0,1.48 %,217456.0,38.0,386850.0,-116858.0,3.6,19,38 %,0.19 %,165.3 cm (5 ft 5 in),170.7,159.8,0.06385471587580538
